APO Catalog,,,,,,20041,,,,,,,Cernis-52,,,,,,,23180,,,,,,,281159,,,,,,,23512,,,,,,,24534,,,,,,,24912,,,,,,,28482,,,,,,,37061,,,,,,,37903,,,,,,,43384,,,,,,,147084,,,,,,,147889,,,,,,,148579,,,,,,,166734,,,,,,,168625,,,,,,,175156,,,,,,,183143,,,,,,,190603,,,,,,,194279,,,,,,,Cyg-OB2-5,,,,,,,Cyg-OB2-12,,,,,,,204827,,,,,,,206267,,,,,,,223385,,,,,,
idx,Wav,FWHM,FWHM,xm2,xm2,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result
,A,km/s,A,km/s,A,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,
266,6220.95 ,35.73 ,0.74 ,15.43 ,0.32 ,,,1,1.5,,,L,,,1,4.5,,,L,,,1,0.9,,,L,,,1,1.2,,,L,,,1,0.6,,,L,,,1,1.7,,,L,,,1,1.6,,,L,,,1,3,,,L,,,1,0.8,,,L,,,1,1.6,,,L,6220.73,1.4,,4.6,0.4,0.42,D,,,,,,,R,,,1,1.9,,,L,,,1,1.9,,,L,6221.04,0.68,,6.9,0.9,0.29,D,6220.89,0.83,,10.9,1.5,0.48,D,6220.96,0.17,,1.9,0.3,0.33,D,6221.11,0.85,,8.2,0.5,0.38,D,6220.98,0.91,,6.5,0.4,0.38,D,6220.78,0.62,,3.6,0.4,0.29,D,6220.98,0.71,,6.6,0.7,0.34,D,6220.86,0.69,,8.6,1.2,0.28,D,6220.97,0.76,,2.8,0.4,0.27,D,6220.92,0.74,,1.3,0.3,0.21,D,6221.13,0.53,,1.9,0.6,0.17,D
267,6223.65 ,25.28 ,0.52 ,11.01 ,0.23 ,6223.48,0.53,,3.9,0.1,0.22,D,,,1,3.2,,,L,6223.51,0.49,,1.1,0.3,0.15,D,6223.6,0.44,,3.1,0.2,0.19,D,6223.74,0.66,,0.6,0.2,0.27,D,6223.7,0.73,,3.9,0.4,0.28,D,6223.67,0.52,,2.1,0.3,0.21,D,6223.64,0.54,,3.2,0.4,0.29,D,,,1,0.4,,,L,,,1,1,,,L,6223.67,0.42,,6.9,0.4,0.33,D,,,1,1.4,,,L,,,1,1.6,,,L,,,1,1.6,,,L,6223.68,0.54,,11.1,0.6,0.27,D,6223.47,0.49,,4.7,0.4,0.2,D,6223.84,0.5,,1.2,0.3,,D,6223.69,0.49,,11.2,0.3,0.24,D,6223.63,0.61,,1.5,0.3,0.19,D,6223.48,0.48,,3.1,0.4,0.22,D,6223.55,0.59,,6.6,0.3,0.22,D,6223.56,0.42,,8.4,0.7,0.18,D,6223.66,0.46,,4.3,0.2,0.21,D,6223.67,0.38,,1.6,0.1,0.18,D,6224.01,0.66,,6,0.3,0.26,D
268,6225.15 ,32.53 ,0.68 ,11.08 ,0.23 ,,,1,1.3,,,L,,,1,2.9,,,L,6225.1,0.7,,1.3,0.3,0.22,D,6225.17,0.66,,2.4,0.2,0.21,D,,,1,0.4,,,L,,,1,1,,,L,,,1,1.1,,,L,6225.08,0.78,,4.2,0.7,0.32,D,,,1,0.7,,,L,6225.02,0.91,,2.8,0.2,0.27,D,,,1,1.1,,,L,,,1,2.3,,,L,,,1,1.2,,,L,,,1,1.2,,,L,6225.24,0.6,,4,0.5,0.25,D,,,1,1.3,,,L,,,1,0.9,,,L,6225.07,0.66,1,2.4,0.1,0.27,C,,,1,1.1,,,L,,,1,0.8,,,L,,,1,1.3,,,L,6225.09,0.89,,4.2,0.6,0.26,D,6225.24,0.47,,2.2,0.2,0.17,D,,,1,0.5,,,L,,,,,,,R
269,6226.25 ,28.96 ,0.60 ,10.52 ,0.22 ,6226.17,0.57,1,7.6,0.3,0.22,C,,,1,3.4,,,L,6226.18,0.72,,3.6,0.2,0.25,D,6226.23,0.49,,3.8,0.4,0.19,D,,,1,0.5,,,L,6226.25,0.72,,3.5,0.5,0.22,D,6226.22,0.44,,1.3,0.3,0.12,D,6226.21,1.05,,6.6,0.6,0.25,D,,,1,0.9,,,L,6226.17,0.63,,1.9,0.2,0.3,D,,,,,,,R,6226.47,0.67,1,10.1,0.7,0.23,C,6226.36,0.71,,3.5,0.3,0.25,D,6226.36,0.71,,3.5,0.3,0.25,D,6226.33,0.59,,15.7,0.4,0.25,D,6226.18,0.43,,4.8,0.7,0.18,D,6226.27,0.36,,2.3,0.4,0.15,D,6226.3,0.61,,4,0.3,0.19,D,6226.24,0.53,,1.9,0.1,0.22,D,6226.16,0.53,,3.9,0.3,0.19,D,6226.25,0.5,,4.1,0.5,0.21,D,6226.23,0.65,,8.8,0.5,0.24,D,6226.29,0.55,,6.3,0.3,0.21,D,6226.35,0.67,,2.5,0.3,0.26,D,,,,,,,R
270,6234.01 ,31.33 ,0.65 ,13.76 ,0.29 ,6233.99,0.5,1,11.7,0.4,0.2,C,6234.07,0.68,,12.8,1.4,0.33,D,6233.92,0.6,,6.4,0.2,0.31,D,6234.02,0.56,,8.2,0.3,0.22,D,,,1,1.3,,,L,6233.94,0.71,,9.5,0.8,0.35,D,6234.03,0.49,,5.6,0.3,0.22,D,,,,,,,R,6234.12,0.69,,2.1,0.3,0.31,D,,,1,1.3,,,L,6234.22,0.56,,13.7,1.2,0.23,D,,,,,,,R,6233.96,0.96,,7.4,0.5,0.29,D,6233.96,0.96,,7.4,0.5,0.29,D,6234.05,0.66,,37.2,0.9,0.3,D,6233.92,0.7,,38.9,1.3,0.3,D,6233.95,0.62,,7.3,0.5,0.29,D,6234.12,0.68,,18.9,0.2,0.26,D,6233.94,0.67,,11.6,0.3,0.35,D,6233.92,0.71,,16.1,0.6,0.29,D,6233.95,0.59,,23.3,0.9,0.26,D,6233.97,0.53,,23.7,0.8,0.2,D,6233.97,0.64,,14.5,0.6,0.31,D,6234,0.72,,15.1,0.3,0.36,D,6234.19,0.6,,7.2,0.4,0.23,D
271,6236.86 ,33.27 ,0.69 ,11.34 ,0.24 ,,,1,1.5,,,L,,,1,5.4,,,L,,,1,1.3,,,L,,,1,0.6,,,L,6236.95,0.8,,1.3,0.3,0.24,D,,,1,1.3,,,L,6236.92,0.63,,1.7,0.3,0.22,D,,,1,3.4,,,L,6236.7,0.98,,1.2,0.2,0.29,D,6236.59,0.86,,1.5,0.2,0.3,D,,,1,2.4,,,L,,,,,,,R,,,1,1.8,,,L,,,1,1.8,,,L,6236.93,0.67,,9.8,0.7,0.22,D,6236.74,0.35,,1.7,0.5,0.11,D,,,1,2.7,,,L,6236.8,0.61,,7.1,0.3,0.22,D,,,1,2.1,,,L,6236.92,1.08,,7.5,0.6,0.34,D,,,1,2.8,,,L,6236.82,0.63,,8.3,1.2,0.31,D,6236.92,0.68,,5.9,0.4,0.23,D,6237.02,0.34,,1.1,0.3,0.12,D,,,,,,,R
272,6244.41 ,26.77 ,0.56 ,9.65 ,0.20 ,6244.41,0.42,,1.4,0.2,0.18,D,6244.35,0.59,,4.1,0.9,0.19,D,6244.4,0.58,,1.6,0.1,0.18,D,,,1,0.8,,,L,6244.4,0.24,,0.9,0.2,0.12,D,,,1,0.8,,,L,,,1,0.9,,,L,,,1,0.5,,,L,,,1,0.5,,,L,,,1,0.6,,,L,,,1,1.9,,,L,,,,,,,R,,,1,1.8,,,L,,,1,1.8,,,L,,,1,0.7,,,L,6244.51,0,,10.2,0.4,0.22,D,6244.41,0.88,,3.3,0.2,0.28,D,6244.61,0.52,,7.1,0.4,0.23,D,,,1,1.2,,,L,6244.15,0.62,,1.8,0.2,0.18,D,6244.36,0.54,,8.3,0.3,0.26,D,6244.49,0.79,1,10.9,0.6,0.27,C,6244.4,0.85,,8,0.4,0.31,D,6244.55,0.42,,0.9,0.2,0.13,D,,,1,1.9,,,L
273,6245.14 ,23.25 ,0.48 ,9.08 ,0.19 ,,,1,0.5,,,L,,,1,2.4,,,L,6245.05,0.28,,0.6,0.2,0.1,D,,,1,0.5,,,L,6244.89,0.11,,0.8,0.1,0.18,D,6245.25,0.56,,2.4,0.3,0.19,D,6244.9,0.56,,0.8,0.2,0.17,D,,,1,1.8,,,L,,,1,0.8,,,L,,,1,0.7,,,L,,,1,2.1,,,L,,,,,,,R,,,1,0.8,,,L,,,1,0.8,,,L,,,1,1.4,,,L,6244.85,0.79,,10.7,0.3,0.24,D,6245.2,0.58,,2.1,0.3,0.18,D,6245.37,0.66,,9.2,0.5,0.27,D,6245.31,0.48,,3.6,0.1,0.22,D,,,1,1.2,,,L,6245.19,0.69,,8.1,0.3,0.22,D,6245.25,0.57,,9.6,0.4,0.19,D,6245.29,0.59,,4.9,0.2,0.24,D,,,1,0.5,,,L,,,1,0.9,,,L
274,6250.87 ,37.21 ,0.78 ,14.46 ,0.30 ,6250.78,0.87,,5.6,0.2,0.35,D,,,1,4.5,,,L,6250.86,0.7,,2,0.3,0.22,D,6250.87,0.66,,4.7,0.4,0.3,D,,,1,1,,,L,6250.8,1.03,,5.8,0.5,0.34,D,,,1,1.9,,,L,6250.95,1.03,,4.2,0.5,0.32,D,,,1,1.1,,,L,,,1,1,,,L,6250.92,0.59,,6.3,0.6,0.35,D,,,1,2.7,,,L,,,1,4,,,L,,,1,4,,,L,6250.83,0.86,,15.8,0.8,0.32,D,6250.82,0.74,,12.1,1,0.28,D,6250.89,0.57,,2.7,0.3,0.26,D,6250.96,1.01,,13.1,0.5,0.41,D,,,1,1.5,,,L,6250.71,1.02,,4.9,0.4,0.34,D,6250.95,1.06,,7.8,0.6,0.35,D,6250.84,0.67,,8,1,0.29,D,6250.89,0.55,,4.6,0.6,0.22,D,,,1,1.5,,,L,6250.98,0.7,,3.2,0.5,0.24,D
275,6252.31 ,22.98 ,0.48 ,10.18 ,0.21 ,,,1,1.5,,,L,,,1,3.5,,,L,6252.02,0.46,,0.5,0.1,,D,,,1,1.5,,,L,,,1,1.3,,,L,6252.31,0.12,,1.9,0.2,0.19,D,,,1,1.4,,,L,6252.5,0.85,,2.7,0.3,0.27,D,,,1,0.7,,,L,,,1,1,,,L,,,1,1,,,L,,,,,,,R,,,1,1.4,,,L,,,1,1.4,,,L,6252.43,0.42,,3.4,0.5,0.24,D,6252.15,0.38,,2.5,0.6,0.16,D,,,1,0.6,,,L,6252.3,0.71,,3,0.4,0.23,D,6252.64,0.45,,0.9,0.3,0.15,D,,,1,0.7,,,L,,,1,1.4,,,L,6252.17,0.24,,1.7,0.4,0.17,D,6252.32,0.54,,1.9,0.4,0.24,D,,,1,1.1,,,L,,,1,1.4,,,L
276,6259.65 ,34.88 ,0.73 ,12.22 ,0.26 ,6259.43,0.72,,3.2,0.6,0.3,D,,,1,4,,,L,6259.86,0.7,,1.8,0.3,0.24,D,6259.57,0.86,,2.4,0.5,0.27,D,,,1,1.1,,,L,,,1,1.2,,,L,6259.65,0.91,,1,0.2,0.29,D,6259.65,0.46,,4.8,1,0.23,D,6259.6,0.64,,1.4,0.3,0.21,D,,,1,1,,,L,6259.55,1.02,,4.4,0.4,0.33,D,,,1,1.8,,,L,,,1,1.4,,,L,,,1,1.4,,,L,6259.79,0.63,,4.8,0.8,0.26,D,,,1,2.5,,,L,6259.59,0.75,,3.5,0.5,0.28,D,6259.8,0.76,,2.9,0.8,0.25,D,,,1,1,,,L,6259.59,0.51,,2.5,0.6,0.21,D,6259.56,0.56,,3.1,0.6,0.19,D,6259.75,1.03,,9.1,0.5,0.32,D,6259.69,0.64,,2.9,0.3,0.19,D,,,1,0.7,,,L,,,1,1,,,L
277,6268.59 ,22.64 ,0.47 ,12.83 ,0.27 ,6268.66,0.23,,15.6,0.4,0.25,D,,,1,6.8,,,L,6268.54,0.55,,1.9,0.2,0.24,D,6268.55,0.64,,7.6,0.4,0.25,D,,,1,0.5,,,L,6268.66,0.24,,1.7,0.5,0.25,D,6268.59,0.19,,3.9,0.3,0.26,D,,,1,2.6,,,L,6268.6,1.04,,4.3,0.6,0.31,D,6268.56,0.89,,3.9,0.4,0.29,D,6268.53,0.04,,11.4,0.3,0.35,D,,,,,,,R,6268.82,0.95,,5.6,0.9,0.31,D,6268.82,0.95,,5.6,0.9,0.31,D,6268.53,0.12,,14.8,0.7,0.27,D,6268.47,0.64,,28.3,0.4,0.21,D,6268.54,0.32,,1.7,0.3,0.22,D,6268.66,0.37,,24.5,0.5,0.27,D,6268.45,,,5.5,0.3,0.24,D,6268.63,0.19,,9.2,0.6,0.26,D,6268.67,0.02,,28.7,0.6,0.36,D,,,,,,,R,6268.58,0.44,,3.6,0.4,0.2,D,6268.39,0.72,,5.6,0.4,0.23,D,6268.68,0.25,,12.3,0.4,0.25,D
278,6269.89 ,57.42 ,1.20 ,22.49 ,0.47 ,6269.84,1.21,,115.9,0.7,0.51,D,6270.07,0.7,,21.7,3.3,0.54,D,6269.9,1,,11.9,0.6,0.45,D,6269.8,1.1,,43.3,0.5,0.45,D,6269.84,0.84,,2.1,0.6,0.25,D,6269.84,0.93,,14.5,0.7,0.42,D,6269.91,1.15,,34.8,0.7,0.48,D,6269.89,1.23,,29.1,2,0.43,D,6269.95,1.51,,13.7,0.7,0.52,D,6269.95,1.29,,8.2,0.8,0.5,D,6269.85,1.15,,84.2,0.5,0.49,D,,,,,,,R,6270.14,1.49,,10.2,1.2,0.45,D,6270.14,1.49,,10.2,1.2,0.45,D,6270.02,1.29,,161.4,1,0.46,D,6269.74,1.53,,175.2,1.2,0.54,D,6269.82,1.07,,22.4,0.8,0.48,D,6269.95,1.18,,162.5,2.7,0.47,D,6269.92,1.16,,47.7,0.4,0.51,D,6269.83,1.29,,91.7,1.2,0.5,D,6269.91,1.23,,131.2,1.3,0.49,D,6269.86,1.19,,148.3,2.1,0.47,D,6269.89,1.09,,58.4,0.8,0.49,D,6269.89,1.15,,51.3,0.8,0.53,D,6269.95,1.36,1,93.8,1,0.5,C
279,6271.40 ,24.87 ,0.52 ,14.00 ,0.29 ,6271.4,0.75,,11,0.7,0.25,D,,,1,5.8,,,L,6271.23,0.56,,2.2,0.2,0.17,D,6271.22,0.57,,7.2,0.4,0.35,D,,,1,0.7,,,L,6271.26,0.42,,1.5,0.4,0.22,D,6271.32,0.32,,2.2,0.4,0.17,D,6271,0.09,,3.3,0.7,,D,,,1,1.5,,,L,,,1,1.6,,,L,6271.44,0.25,,7.8,0.4,0.23,D,,,,,,,R,6271.33,0.29,,3.5,0.7,0.19,D,6271.33,0.29,,3.5,0.7,0.19,D,6271.74,0.42,,38.6,0.5,0.5,D,6271.38,0.52,,27.2,0.8,0.31,D,6271.3,0.5,,1.8,0.2,0.23,D,6271.56,0.42,,33.1,1.5,0.48,D,6271.62,0.48,,5.5,0.3,0.3,D,6271.37,0.55,,11.2,1.5,0.33,D,6271.5,0.58,,11.5,1.7,0.26,D,6271.41,0.77,,25.8,1.5,0.35,D,6271.38,0.92,,9.7,0.6,0.3,D,6271.46,0.53,,4.5,0.6,0.23,D,6271.59,0.58,,14.5,0.5,0.4,D
280,6275.56 ,20.08 ,0.42 ,7.79 ,0.16 ,6275.54,0.49,,3.6,0.4,0.22,D,,,1,4.4,,,L,6275.57,0.32,,0.7,0.1,0.1,D,,,1,0.4,,,L,,,1,0.6,,,L,6275.51,0.31,,1.1,0.3,0.08,D,6275.55,0.6,,2.4,0.3,0.22,D,,,1,1.8,,,L,,,1,0.6,,,L,,,1,0.7,,,L,6275.64,0.36,,2.2,0.3,0.17,D,,,,,,,R,,,1,1.5,,,L,,,1,1.5,,,L,6275.62,0.43,,5.4,0.3,0.18,D,6275.45,0.55,,6.2,0.6,0.22,D,6275.57,0.3,,1.4,0.1,0.11,D,6275.6,0.33,,1.2,0.3,0.11,D,,,1,0.5,,,L,6275.58,0.29,,1.7,0.2,0.17,D,6275.58,0.31,,3.6,0.3,0.14,D,6275.46,0.3,,2.6,0.2,0.11,D,6275.55,0.4,,3.4,0.1,0.15,D,6275.61,0.67,,2.5,0.4,0.22,D,,,1,0.4,,,L
281,6277.83 ,56.82 ,1.19 ,23.98 ,0.50 ,6277.66,1.16,1,13.6,1.1,0.55,C,,,1,10.5,,,L,,,1,2.5,,,L,,,1,1.6,,,L,,,1,1.6,,,L,,,1,2.8,,,L,,,1,2.8,,,L,,,1,5.3,,,L,,,1,3.9,,,L,,,1,4.9,,,L,,,1,5.4,,,L,,,,,,,R,,,1,4,,,L,,,1,4,,,L,6277.85,1.32,,27.7,2.3,0.48,D,6277.65,0.96,,52.4,2.1,0.48,D,6277.77,1.46,,14.4,0.8,0.51,D,6277.79,1.13,,14.1,1.2,0.36,D,6277.92,1.11,,10.6,1.2,0.51,D,6277.75,0.93,,26.2,0.9,0.5,D,6277.94,1.07,,18.9,0.6,0.43,D,6277.77,1.44,,24.1,2.1,0.54,D,6277.9,1.79,,15.5,0.9,0.56,D,6278.06,0.28,,18.4,0.7,0.62,D,6277.71,1.59,,11.2,1.2,0.53,D
282,6280.26 ,49.20 ,1.03 ,18.05 ,0.38 ,6280.2,0.95,,16.2,1,0.4,D,,,1,8.3,,,L,6280.13,0.98,,4.3,0.6,0.47,D,6280.53,0.81,,9.7,1.1,0.49,D,6280.23,1.6,,6.4,1.8,0.5,D,,,1,4.4,,,L,6280.29,1.34,,10.5,1,0.44,D,,,1,9.6,,,L,6280.47,0.67,,3.6,0.5,0.3,D,,,1,5.1,,,L,6280.24,1.06,,13.9,2.5,0.35,D,,,,,,,R,,,,,,,R,,,,,,,R,6280.38,0.82,,9.1,1.2,0.3,D,6280.08,1.05,,15,2.3,0.34,D,6280.14,0.84,,4.4,0.7,0.34,D,6280.32,0.95,,19,1.4,0.33,D,6280.27,1.25,,17.6,1.8,0.43,D,6279.98,1.27,,31.8,2.2,0.45,D,6280.2,0.94,,23.3,2.5,0.32,D,6280.29,1.1,,26.8,2.6,0.35,D,6280.13,0.97,,3.9,0.8,0.31,D,6280.04,0.74,,9.6,0.8,0.22,D,6280.5,0.99,,12.9,1.3,0.39,D
283,6284.05 ,214.33 ,4.49 ,137.59 ,2.88 ,6283.96,3.61,,1014.7,9.1,3.19,D,6283.44,4.12,,142.8,17.2,2.06,D,6284.17,6.23,,123.1,8,2.36,D,6284.46,3.83,,616.6,6.4,3.03,D,6285.3,10.28,,80.9,4.7,3.29,D,6284.28,6.23,,99.6,7.2,2.27,D,6284.26,3.66,,526.4,6.9,3.13,D,6283.95,3.5,,264.6,8.6,2.09,D,6284.43,3.99,,559.7,6.6,2.75,D,6284.36,3.93,,373.2,8.1,2.7,D,6283.86,3.84,,960,9,3.05,D,6283.79,8.23,1,701.4,11.3,3.02,C,6283.94,4.6,,198.4,7.5,2,D,6283.94,4.6,,198.4,7.5,2,D,6284.16,3.83,,1624.8,15,3.4,D,6283.65,4.15,,1843.3,20.7,3.04,D,6283.71,5.26,,354.8,4.2,2.98,D,6283.99,3.86,,1957.9,19.5,3.04,D,6284.01,3.81,,1114.3,8.3,2.97,D,6283.61,3.77,,1227,8.1,2.78,D,6283.95,3.92,,2133.8,37.9,3.15,D,6283.87,3.96,,2147,17.2,2.96,D,6284.01,4.35,,504.6,8.1,3.51,D,6283.81,4.43,,532.6,8.2,3.23,D,6283.94,4.07,,1376.2,14.7,3.2,D
284,6287.59 ,25.68 ,0.54 ,9.66 ,0.20 ,6287.5,0.52,,3.4,0.2,0.19,D,6287.58,0.44,,7,1.6,0.23,D,6287.5,0.55,,5.5,0.2,0.19,D,6287.57,0.52,,5.6,0.5,0.17,D,6287.78,0.62,,1,0.2,0.19,D,6287.51,0.44,,4.6,0.8,0.15,D,6287.68,0.7,,5.7,0.4,0.23,D,,,1,2.2,,,L,,,1,0.8,,,L,,,1,1.5,,,L,6287.5,0.3,,4.9,0.3,0.16,D,,,1,4.8,,,L,,,1,1.9,,,L,,,1,1.9,,,L,6287.63,0.56,,29.9,0.3,0.22,D,6287.52,0.67,,21.3,0.6,0.23,D,6287.57,0.43,1,4.5,0.2,0.14,C,6287.55,0.6,,13.1,0.5,0.23,D,6287.67,0.64,1,7.2,0.2,0.23,C,,,1,5.4,,,L,6287.65,0.6,,15.1,0.3,0.23,D,6287.57,0.37,,6.9,0.8,0.14,D,6287.6,0.52,,13.2,0.4,0.22,D,6287.71,0.61,,5.9,0.2,0.22,D,6287.98,0.86,1,17.2,0.3,0.3,C
285,6289.66 ,85.12 ,1.78 ,27.79 ,0.58 ,6289.46,1.41,,8,1.9,0.48,D,,,1,14,,,L,,,1,1.8,,,L,6290.02,2.75,,20.2,3.8,0.82,D,,,1,6.4,,,L,,,1,3.6,,,L,6289.57,1.37,,8.6,2.2,0.41,D,,,1,9.6,,,L,,,1,4.7,,,L,,,1,4.4,,,L,,,1,8.8,,,L,6289.4,0.31,1,17.3,3.7,0.38,C,,,1,5.9,,,L,,,1,5.9,,,L,,,1,6.5,,,L,6289.72,2.08,,57.6,1.7,0.72,D,6289.69,1.83,,7.9,1.1,0.61,D,6289.7,1.73,,24.9,1.8,0.58,D,6289.87,1.77,,19.7,1.4,0.78,D,6289.57,1.14,,14.8,3,0.43,D,6289.48,1.47,,32.1,3.9,0.54,D,6289.55,1.84,,47.4,1.8,0.57,D,6289.52,1.64,,8.5,1.8,0.51,D,,,1,3.8,,,L,6289.63,2.53,1,78.7,1.6,0.69,C
286,6308.83 ,203.88 ,4.29 ,66.93 ,1.41 ,6308.45,3.7,,52.7,3.7,1.15,D,,,1,24.5,,,L,6308.71,6.24,,22.4,2.5,1.82,D,6308.56,4.12,,28.9,3,1.38,D,,,1,14.6,,,L,,,1,10.7,,,L,,,,,,,R,6308.31,4.15,,25.8,3.7,1.34,D,6308.49,4.88,,28,3.4,1.48,D,,,1,12.6,,,L,6308.48,2.72,1,25.5,6.6,0.98,C,6309.2,0.32,1,81.2,4.2,1.35,C,6309.39,5.19,,29.3,3,1.26,D,6309.39,5.19,,29.3,3,1.26,D,6309.91,6.51,,235.5,4,2.08,D,6308.89,2.38,1,82.3,11.5,0.92,C,,,1,9.8,,,L,6308.97,2.87,1,99.7,5.7,0.98,C,6308.79,2.61,,40.3,2,1.14,D,6308.39,3.58,,76.9,12.6,1.63,D,6309.23,3.27,,205,7.4,1.79,D,6308.84,3.16,,102,6.9,1.01,D,6309.1,5.48,,45.1,2.3,1.65,D,,,,,,,R,6308.77,3.1,,57.6,2.4,1.11,D
287,6318.07 ,229.15 ,4.83 ,94.97 ,2.00 ,,,,,,,R,,,,,,,R,,,1,9.3,,,L,,,1,22.6,,,L,6317.75,6.02,,26.8,2.5,1.78,D,,,1,14.6,,,L,,,,,,,R,,,1,30.6,,,L,,,,,,,R,,,1,21.1,,,L,,,1,32.3,,,L,,,,,,,R,6318.22,4.65,1,37.9,4.5,1.8,C,6318.22,4.65,1,37.9,4.5,1.8,C,6317.9,5.24,,216.3,6.7,2.2,D,6318.04,5.08,,175.1,9.6,2.18,D,,,1,11,,,L,6318.02,5.84,1,135.1,9.5,2.06,C,6318.68,4.97,,84.4,6.2,2.07,D,6318.23,4.41,,89.7,6.8,1.85,D,6318.51,3.98,,142,15.3,1.67,D,6318.28,4.6,1,123.2,9.2,1.69,C,6317.48,4.43,,39.9,3.3,1.7,D,6318.52,4.93,1,67.3,4.4,1.88,C,,,,,,,R
288,6323.94 ,22.43 ,0.47 ,11.05 ,0.23 ,6323.99,0.71,,4.3,0.4,0.22,D,,,1,2.3,,,L,,,1,0.8,,,L,,,1,0.8,,,L,,,1,0.6,,,L,6324.02,0.35,,2.9,0.3,0.17,D,,,1,0.8,,,L,,,1,1.1,,,L,,,1,0.5,,,L,,,1,1.1,,,L,,,1,1.5,,,L,,,,,,,R,,,1,1.9,,,L,,,1,1.9,,,L,6323.99,1.05,,9.4,0.4,0.33,D,6323.78,0.36,,12.7,0.8,0.23,D,6323.98,0.16,,2.9,0.3,0.26,D,6323.97,0.51,,2.8,0.3,0.22,D,6324.22,0.35,,4.5,0.2,0.17,D,6323.96,0.37,,8.1,0.2,0.17,D,6324.07,0.32,,14.9,0.3,0.27,D,6323.84,0.1,,8.9,0.6,0.28,D,6323.82,0.73,,4.1,0.2,0.25,D,6323.79,0.14,,0.9,0.3,0.19,D,6324.07,0.62,,5.7,0.3,0.23,D
289,6324.91 ,35.26 ,0.74 ,13.17 ,0.28 ,6324.9,0.67,,9,0.5,0.26,D,6324.94,0.84,,5.3,1.8,0.27,D,6324.85,0.58,,2.3,0.4,0.21,D,6324.93,0.65,,4.9,0.3,0.3,D,,,1,1,,,L,6325,0.8,,4.3,0.4,0.28,D,6325.05,0.71,,3.2,0.2,0.3,D,,,1,1.1,,,L,,,1,0.6,,,L,6324.8,0.81,,2.1,0.3,0.25,D,6324.86,0.8,,11.8,0.4,0.29,D,6324.84,0.85,,4,0.5,0.27,D,,,1,1.3,,,L,,,1,1.3,,,L,6325.13,0.74,,19.3,0.1,0.31,D,6324.78,0.85,,17.8,1.1,0.3,D,6324.87,0.72,,4,0.4,0.25,D,6324.98,0.84,,18.6,0.6,0.31,D,6324.96,0.6,,12,0.4,0.33,D,6324.72,0.96,,16.8,0.3,0.32,D,6324.92,0.7,,18.4,0.4,0.27,D,6324.86,0.88,,26.5,0.6,0.34,D,6324.9,0.74,,7.5,0.2,0.27,D,6324.87,0.44,,3.3,0.3,0.15,D,6324.94,0.94,,8,0.2,0.33,D
